Species,BBW,BBZ,BLG,HH,HZ,JJ,JL,LCG,LH,LHH,LHK,MJ,NL,NL2,NL6,NL7,OJ,SY,SYC,WSK,YR,YRS,ZJ,ZJJ
s__Pseudooceanicola_nanhaiensis,2884,1886,492,5094,1728,994,950,1562,3136,2528,226,2374,1210,456,1892,2666,1396,2296,2330,134,5482,4000,1836,1484
s__Scytonema_hofmanni,878,608,1080,1794,2480,16854,762,2052,1360,1332,2456,1186,1268,1542,978,1176,1836,1234,2404,514,1030,1840,996,1324
s__Sphaerotilus_natans,628,190,6846,422,2162,486,614,2672,588,880,5282,3508,1336,906,1926,1214,1608,2314,656,7048,842,386,3494,2758
s__Hylemonella_gracilis,996,638,4158,1576,5000,2698,770,3280,1332,744,2828,2924,1376,1282,1230,1728,2952,1810,1376,3388,1134,1138,2274,2134
s__Microvirga_vignae,2988,2394,1872,1652,3216,4896,752,1918,1528,1362,1076,1526,2236,2420,2542,3764,2082,1434,1088,1428,1754,1804,1442,1484
s__Thorarchaeota_archaeon_SMTZ1-83,1094,606,1020,1650,1468,22548,508,1570,1550,1468,484,1446,856,1812,988,1130,1470,890,1224,806,1144,1568,690,624
s__Luteimonas_mephitis,1038,1094,2866,3932,3326,944,1214,2532,4542,860,1974,1922,856,788,1130,1472,2490,3252,2646,1514,2550,3248,1220,1200
s__Mastigocoleus_testarum,1214,1024,1222,3418,3522,9116,1104,2836,2972,1446,990,1592,914,1270,1288,1334,2306,1906,2260,436,1688,2918,690,854
s__Erythrobacter_sp._AP23,2188,1788,432,1824,1666,2568,938,1088,1284,1632,396,3742,1182,436,1284,2358,1700,8496,5740,408,1654,1314,3168,968
s__Cellulomonas_sp._KRMCY2,3910,1312,1320,2084,1920,4304,438,2372,1322,5516,1178,2604,1714,1192,2370,2958,1450,1524,2152,780,1512,1296,2136,856
s__Terracidiphilus_gabretensis,1870,696,2020,1256,3600,9444,750,2034,1298,704,1206,2212,2768,2424,1602,2094,1942,888,2540,1486,1116,1460,1140,1638
s__Marinobacter_lipolyticus,920,996,1268,4394,3924,2212,1474,3108,4610,1930,682,1782,586,528,1108,1154,3020,2760,2492,1076,2434,3968,828,886
s__Thauera_sp._27,646,316,3256,1668,2194,898,648,2562,2072,12472,2244,3476,982,1008,922,1180,1480,1904,1070,2318,1118,1296,1144,1212
s__Methanosarcina_barkeri,1558,492,716,952,960,10838,470,824,704,1292,1422,1534,3766,8124,1906,3000,746,802,1452,674,354,834,2392,2242
